Wed Jul 05 22:20:23 BRT 2017 : Usuário: Wesley	Ação: Salvou o cadastro de Funcionários!
Wed Jul 05 22:20:25 BRT 2017 : Usuário: Wesley	Ação: Cancelou o cadastro de Funcionários!
Wed Jul 05 22:42:47 BRT 2017 : Usuário: Wesley	Ação: Acessou o sistema!
Wed Jul 05 22:42:50 BRT 2017 : Usuário: Wesley	Ação: Acessou cadastro de Funcionários!
Wed Jul 05 22:43:06 BRT 2017 : Usuário: Wesley	Ação: Salvou o cadastro de Fornecedores!
Wed Jul 05 22:43:15 BRT 2017 : Usuário: Wesley	Ação: Cancelou o cadastro de Funcionários!
Wed Jul 05 22:43:18 BRT 2017 : Usuário: Wesley	Ação: Acessou cadastro de Fornecedores!
Wed Jul 05 22:43:29 BRT 2017 : Usuário: Wesley	Ação: Salvou o cadastro de Fornecedores!
Wed Jul 05 22:43:43 BRT 2017 : Usuário: Wesley	Ação: Cancelou o cadastro de Fornecedores!
Wed Jul 05 22:46:50 BRT 2017 : Usuário: Wesley	Ação: Acessou o sistema!
Wed Jul 05 22:46:54 BRT 2017 : Usuário: Wesley	Ação: Acessou cadastro de Funcionários!
Wed Jul 05 22:47:07 BRT 2017 : Usuário: Wesley	Ação: Salvou o cadastro de Fornecedores!
Wed Jul 05 22:47:12 BRT 2017 : Usuário: Wesley	Ação: Limpou o cadastro de Funcionários!
Wed Jul 05 22:51:22 BRT 2017 : Usuário: Wesley	Ação: Acessou o sistema!
Wed Jul 05 22:51:25 BRT 2017 : Usuário: Wesley	Ação: Acessou cadastro de Fornecedores!
Wed Jul 05 22:51:34 BRT 2017 : Usuário: Wesley	Ação: Salvou o cadastro de Fornecedores!
Wed Jul 05 22:51:41 BRT 2017 : Usuário: Wesley	Ação: Cancelou o cadastro de Fornecedores!
Thu Jul 06 00:44:13 BRT 2017 : Usuário: Wesley	Ação: Acessou o sistema!
Thu Jul 06 00:44:50 BRT 2017 : Usuário: Wesley	Ação: Acessou o sistema!
Thu Jul 06 00:44:58 BRT 2017 : Usuário: Wesley	Ação: Acessou cadastro de Papel!
Thu Jul 06 00:45:07 BRT 2017 : Usuário: Wesley	Ação: Salvou o cadastro de Papel!
Thu Jul 06 00:45:15 BRT 2017 : Usuário: Wesley	Ação: Cancelou o cadastro de Papel!
Thu Jul 06 00:57:57 BRT 2017 : Usuário: Wesley	Ação: Acessou o sistema!
Thu Jul 06 00:58:00 BRT 2017 : Usuário: Wesley	Ação: Acessou cadastro de Papel!
Thu Jul 06 00:58:04 BRT 2017 : Usuário: Wesley	Ação: Cancelou o cadastro de Papel!Thu Jul 06 01:01:40 BRT 2017 : Usuário: Wesley	Ação: Acessou o sistema!
Thu Jul 06 01:01:43 BRT 2017 : Usuário: Wesley	Ação: Acessou cadastro de Papel!
Thu Jul 06 01:03:08 BRT 2017 : Usuário: Wesley	Ação: Acessou o sistema!
Thu Jul 06 01:03:11 BRT 2017 : Usuário: Wesley	Ação: Acessou cadastro de Funcionários!
Thu Jul 06 01:03:13 BRT 2017 : Usuário: Wesley	Ação: Excluiu o cadastro de Funcionário!
